Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Category,Signal,Reason
2026-08-17 15:13:45,NSE:DIVISLAB,8536.0,83.84,83.43,0.41,2026-08-17 15:00,57.5,50.63,6.87,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 83.84 > 50, but Hourly RSI has not touched 30 (current 57.50)"
2026-08-17 15:13:46,NSE:ECLERX,1845.7,55.0,57.07,-2.07,2026-08-17 15:00,45.98,65.25,-19.27,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 55.00 > 50, but Hourly RSI has not touched 30 (current 45.98)"
2026-08-17 15:13:47,NSE:EMCURE,1873.3,60.65,66.26,-5.61,2026-08-17 15:00,19.03,28.2,-9.17,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,Weekly RSI 60.65 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 1884.0 <= Previous High 1884.5)
2026-08-17 15:13:48,NSE:ENRIN,3607.9,57.1,55.76,1.34,2026-08-17 15:00,62.46,47.59,14.87,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 57.10 > 50, but Hourly RSI has not touched 30 (current 62.46)"
2026-08-17 15:13:49,NSE:ETERNAL,319.9,66.32,65.97,0.34,2026-08-17 15:00,58.08,54.74,3.34,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 66.32 > 50, but Hourly RSI has not touched 30 (current 58.08)"
2026-08-17 15:13:50,NSE:EXIDEIND,475.75,72.58,72.73,-0.14,2026-08-17 15:00,37.82,37.89,-0.07,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 72.58 > 50, but Hourly RSI has not touched 30 (current 37.82)"
2026-08-17 15:13:51,NSE:FEDERALBNK,355.45,74.03,72.83,1.19,2026-08-17 15:00,55.27,40.82,14.45,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 74.03 > 50, but Hourly RSI has not touched 30 (current 55.27)"
2026-08-17 15:13:52,NSE:FINCABLES,1318.55,68.84,65.92,2.92,2026-08-17 15:00,75.73,62.89,12.84,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 68.84 > 50, but Hourly RSI has not touched 30 (current 75.73)"
2026-08-17 15:13:52,NSE:FLUOROCHEM,4702.0,71.01,72.33,-1.32,2026-08-17 15:00,51.32,54.33,-3.02,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 71.01 > 50, but Hourly RSI has not touched 30 (current 51.32)"
2026-08-17 15:13:53,NSE:GLAND,2907.0,75.89,79.58,-3.69,2026-08-17 15:00,50.9,65.46,-14.56,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 75.89 > 50, but Hourly RSI has not touched 30 (current 50.90)"
2026-08-17 15:13:54,NSE:GRANULES,859.95,66.59,66.44,0.15,2026-08-17 15:00,53.04,43.58,9.46,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 66.59 > 50, but Hourly RSI has not touched 30 (current 53.04)"
2026-08-17 15:13:55,NSE:GRAPHITE,729.5,59.63,58.71,0.92,2026-08-17 15:00,51.3,42.82,8.48,YES,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 59.63 > 50, but Hourly RSI has not touched 30 (current 51.30)"
2026-08-17 15:13:56,NSE:GVT&D,4290.4,50.63,51.65,-1.02,2026-08-17 15:00,42.41,50.84,-8.44,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 50.63 > 50, but Hourly RSI has not touched 30 (current 42.41)"
2026-08-17 15:13:57,NSE:HEG,699.2,67.47,67.84,-0.37,2026-08-17 15:00,58.54,58.54,-0.0,NO,,,,,,,15m logic removed,WATCH,👀 WATCH,"Weekly RSI 67.47 > 50, but Hourly RSI has not touched 30 (current 58.54)"
